,FLA1 amount,RAM1 amount,LAN speed,802dot11,Release
ASUS RT-AC66U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2012
ASUS RT-N66W,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
Netgear AC1450,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
ASUS RT-N66U,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2011
Buffalo WZR-900DHP,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
Buffalo WZR-600DHP2,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
Netgear R6400 v1,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Netgear R6200v2,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Netgear R6300 v2,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Tenda W1800R,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Linksys WRT1900AC,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
ASUS RT-N18U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,bgn,2014
Aruba Networks AP-135,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2011
Linksys EA6900 v1.0,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
D-Link DIR-895L rev A1,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Huawei AP6510DN-AGN-US,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
Meru Networks AP332e,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
ASUS RT-AC68U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
EnGenius EPG5000,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Netgear R6250,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
D-Link DIR-865L,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2012
Ericsson AP 6321,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Synology RT1900AC,4096 MiB4294967296 B33554432 Kib4194304 KiB32768 Mib4 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Belkin F9K1104,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Huawei AP7030DN-AC,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,
Netgear R7500v2,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
ASUS RT-AC68UF,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2016
ASUS RT-AC68P,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
ASUS RT-AC3200,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
ZyXEL NWA3560-N,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2010
Aerohive AP230,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
ASUS RT-AC56U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Linksys SVR200,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100,bg,2007
Luxul XWR-1750,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Linksys EA9200,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Huawei AP7110DN-AGN,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
Meru Networks AP332i,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
TP-LINK Archer C3200,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Netgear C6300,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
EnGenius ESR1750,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Netgear WNDR4700,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Cisco DPC3829AD,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
ZyXEL NBG6716,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
EnGenius ESR750H,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Huawei AP7130DN-AC,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,
Netgear D7800,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
ASUS RP-AC68U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Cisco DDR2200-CL,,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100,bg,2009
Edge-corE ECW7210-L,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Western Digital My Net N900 Central (2TB),16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Linksys EA6900 v1.1,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Netgear R7300DST,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Western Digital My Net N900,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Cisco DPC3929CAD,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Netgear D7000,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Ubiquiti Networks UniFi AP AC (UAP-AC),16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
ZyXEL WAC6502D-S,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
TRENDnet TEW-828DRU V1.0R,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Linksys LAPAC1750PRO,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Beeline SmartBox Pro,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,
